Id,Label,Position,Intensity,Width,Position_err,Intensity_err,Width_err
0,6.0359,6.035850274864113,8271164.228659916,1.9555434981336157,inf,inf,inf
1,4.8739,4.873948228348285,12022871.15479975,2.130984290659217,inf,inf,inf
2,3.3247,3.324726305646513,1503146.1851276022,2.0107936751694138,inf,inf,inf
3,3.3169,3.316890059703922,1742989.9220209147,2.076783010070611,inf,inf,inf
4,3.3143,3.314326259988172,1739110.9863037576,2.5025315089419977,inf,inf,inf
5,3.3097,3.3097424516551093,2166155.345388036,2.409201559156633,inf,inf,inf
6,3.3073,3.307325742440476,4409153.601733785,3.5958041242983048,inf,inf,inf
7,3.3054,3.3054077680508946,5521052.696765879,2.043441766848181,inf,inf,inf
8,3.3032,3.3031615796711105,3827388.6404376915,2.0484944985630915,inf,inf,inf
9,3.3009,3.3009051664756774,1886570.3743742497,2.376308321320548,inf,inf,inf
10,2.4264,2.4264451069087185,1238694.1307636553,1.5923476277874766,inf,inf,inf
11,2.4207,2.420676104182421,1327922.2851704762,1.5193491791273173,inf,inf,inf
12,2.4075,2.407454356120535,1602886.524844349,1.645810363175616,inf,inf,inf
13,2.4055,2.4054817568882783,1706117.862200377,1.8299516854877886,inf,inf,inf
14,2.4016,2.4016148763663105,1648740.1128167799,1.7396710961969686,inf,inf,inf
15,2.3997,2.3997369848680172,1718073.9929202064,1.7671451233863549,inf,inf,inf
16,2.3865,2.386491502324407,1544653.9082294044,1.52037439236189,inf,inf,inf
17,2.3806,2.3806473396905012,1461382.5552827856,1.5886547541281337,inf,inf,inf
18,2.0988,2.098836600029196,1195661.9220483846,2.3496573636892597,inf,inf,inf
19,2.0946,2.0945635900841943,1478104.324499398,2.69071550216213,inf,inf,inf
20,2.0920,2.092033046456807,1432505.1066025079,2.6422158795222934,inf,inf,inf
21,2.0877,2.087653829875973,1325542.2042883981,2.319546617181682,inf,inf,inf
22,2.0778,2.0778300122743074,1047401.0802260472,2.502402520132024,inf,inf,inf
23,2.0736,2.073558399838743,1308791.9889493417,2.5798195735513114,inf,inf,inf
24,2.0710,2.0710161605359145,1195587.1025330445,2.834317365546691,inf,inf,inf
25,2.0666,2.0666406846925294,1172027.530378897,2.316338299840383,inf,inf,inf
26,2.0318,2.031808730501678,966143.2195863975,2.5882421262732977,inf,inf,inf
27,2.0275,2.0275318063779926,1320768.6502933388,2.013731263688718,inf,inf,inf
28,2.0221,2.022122258625254,1025880.108992866,3.1958080798899795,inf,inf,inf
29,2.0175,2.0174950776447513,1416428.154775847,1.7937902067571103,inf,inf,inf
30,2.0126,2.012604626285665,1002722.9716824163,5.346974295276344,inf,inf,inf
31,2.0117,2.011735023307201,1053289.5670990015,2.388877923150564,inf,inf,inf
32,2.0074,2.0074367697909814,1432791.160235519,1.9271194063819517,inf,inf,inf
33,2.0030,2.0030209092554694,1023664.0678246163,2.992569472747461,inf,inf,inf
34,2.0022,2.0021810046054416,1037069.6439207852,3.0226816639288034,inf,inf,inf
35,1.8734,1.8733883808283163,1417181.3067414816,2.885790988471383,inf,inf,inf
36,1.8679,1.867859550212297,1495753.1124641998,3.0462779966190494,inf,inf,inf
37,1.8542,1.8542067591938094,1395795.3036081786,3.1277804774728017,inf,inf,inf
38,1.8491,1.8491181805907837,1742402.1328611018,2.6569476206258273,inf,inf,inf
39,1.8448,1.844789871648159,988533.6136545088,1.9054279029562888,inf,inf,inf
40,1.8358,1.8358378759664342,1376152.0863690954,2.121323750188083,inf,inf,inf
41,1.8284,1.8284127230811016,1439984.6414963503,2.9219113922049638,inf,inf,inf
42,1.8172,1.8172423887189477,1209899.2960092803,2.236455569890264,inf,inf,inf
43,1.8099,1.8099499907841927,1515330.2169021775,3.5788087878305563,inf,inf,inf
44,1.8033,1.8033243712107545,960363.9804691356,2.1397363410721697,inf,inf,inf
45,1.7818,1.781786083065515,1523919.9772994365,2.6519114349626416,inf,inf,inf
46,1.7767,1.7767280770989584,1580860.5070355365,2.615683201542928,inf,inf,inf
47,1.7629,1.7628673212956496,1521466.994156231,3.1756493316820817,inf,inf,inf
48,1.7576,1.7575896486683686,1625466.4028126283,2.657023316650586,inf,inf,inf
49,1.5189,1.5189415061783267,952281.4787682045,4.227384410820734,inf,inf,inf
50,1.5107,1.510683639147722,1146709.9411012307,4.263473941030809,inf,inf,inf
51,1.5093,1.509262672859477,1175077.994021957,4.015569855126988,inf,inf,inf
52,1.5018,1.501767647143994,1285679.8863810825,2.1577607604461235,inf,inf,inf
53,1.4927,1.4926813477791334,1084242.5813523321,2.193233636195387,inf,inf,inf
54,1.4894,1.4893765295184798,1081234.5153178282,3.440932101643713,inf,inf,inf
55,1.4858,1.4857674826028209,1091700.6065035677,2.1480294590763656,inf,inf,inf
56,1.4823,1.482287000238885,967583.5748286886,2.819163594315181,inf,inf,inf
57,1.4730,1.473000519335566,1427574.4922634745,2.8500399363736535,inf,inf,inf
58,1.4660,1.4660436873213003,1302991.2117423145,2.9611042005375667,inf,inf,inf
59,1.4046,1.4046314811349712,1403447.0014588735,2.0068966779253414,inf,inf,inf
60,1.3948,1.3947945919320206,1494076.751250679,2.1567845329439703,inf,inf,inf
61,1.3887,1.3886802338160502,2490585.594955253,2.1878162388684386,inf,inf,inf
62,1.3823,1.3822842686063486,31934730.344151784,1.6830137129134082,inf,inf,inf
63,1.1777,1.1776776116970058,2135621.3642233876,3.45071709088027,inf,inf,inf
64,1.1719,1.171905044614479,18033422.83583488,1.5931013101340465,inf,inf,inf
65,1.1614,1.1614292633017915,17238917.55107173,1.5227224101932213,inf,inf,inf
66,1.1543,1.154261617747462,2045556.8511167753,2.1511450325490156,inf,inf,inf
67,1.1010,1.1009947884102933,1530192.706471329,2.3055413282655333,inf,inf,inf
68,1.0975,1.0975125213466514,1277313.9323681188,2.6683462519887717,inf,inf,inf
69,1.0961,1.0961257485744265,1476497.9703466299,2.2731103457058093,inf,inf,inf
70,1.0838,1.0838223921624608,1316500.6591456071,2.5476336000195023,inf,inf,inf
71,1.0786,1.0785786798418815,1413981.5117329226,2.3538680152935045,inf,inf,inf
72,1.0024,1.0024310150962803,16350181.2209912,1.7025931283124713,inf,inf,inf
73,0.9933,0.993285368516878,15579716.950941851,1.7159393858913337,inf,inf,inf
74,0.0006,0.0005882192153663212,2157627.716042864,1.2691155219963761,inf,inf,inf
